id,name,uniqueName,mature,parentId,parentUniqueName,url,path
12090100,Snowboarding Equipment,Snowboarding Equipment,False,12000000,Sports Equipment & Outdoor Gear,http://www.bizrate-partner.com/snowboardingequipment/?rf=af1&af_assettype_id=10&af_creative_id=2975&af_id=614987&af_placement_id=1,Home > Sports Equipment & Outdoor Gear > Snowboarding Equipment
12100200,Soccer Equipment,Soccer Equipment,False,12000000,Sports Equipment & Outdoor Gear,http://www.bizrate-partner.com/soccerequipment/?rf=af1&af_assettype_id=10&af_creative_id=2975&af_id=614987&af_placement_id=1,Home > Sports Equipment & Outdoor Gear > Soccer Equipment
12110300,Tennis Clothing & Equipment,Tennis Clothing & Equipment,False,12000000,Sports Equipment & Outdoor Gear,http://www.bizrate-partner.com/tennisclothing_equipment/?rf=af1&af_assettype_id=10&af_creative_id=2975&af_id=614987&af_placement_id=1,Home > Sports Equipment & Outdoor Gear > Tennis Clothing & Equipment
100002026,Tennis Accessories,Tennis Accessories,False,12110300,Tennis Clothing & Equipment,http://www.bizrate-partner.com/tennis-accessories/?rf=af1&af_assettype_id=10&af_creative_id=2975&af_id=614987&af_placement_id=1,Home > Sports Equipment & Outdoor Gear > Tennis Clothing & Equipment > Tennis Accessories
100002025,Tennis Apparel,Tennis Apparel,False,12110300,Tennis Clothing & Equipment,http://www.bizrate-partner.com/tennis-apparel/?rf=af1&af_assettype_id=10&af_creative_id=2975&af_id=614987&af_placement_id=1,Home > Sports Equipment & Outdoor Gear > Tennis Clothing & Equipment > Tennis Apparel
100002024,Tennis Racquets,Tennis Racquets,False,12110300,Tennis Clothing & Equipment,http://www.bizrate-partner.com/tennis-racquets/?rf=af1&af_assettype_id=10&af_creative_id=2975&af_id=614987&af_placement_id=1,Home > Sports Equipment & Outdoor Gear > Tennis Clothing & Equipment > Tennis Racquets
12120100,Fishing Gear,Fishing Gear,False,12000000,Sports Equipment & Outdoor Gear,http://www.bizrate-partner.com/fishinggear/?rf=af1&af_assettype_id=10&af_creative_id=2975&af_id=614987&af_placement_id=1,Home > Sports Equipment & Outdoor Gear > Fishing Gear
12130100,Bicycles & Equipment,Bicycles & Equipment,False,12000000,Sports Equipment & Outdoor Gear,http://www.bizrate-partner.com/bicycles_equipment/?rf=af1&af_assettype_id=10&af_creative_id=2975&af_id=614987&af_placement_id=1,Home > Sports Equipment & Outdoor Gear > Bicycles & Equipment
100001448,Bicycles,Bicycles ,False,12130100,Bicycles & Equipment,http://www.bizrate-partner.com/bicycles/?rf=af1&af_assettype_id=10&af_creative_id=2975&af_id=614987&af_placement_id=1,Home > Sports Equipment & Outdoor Gear > Bicycles & Equipment > Bicycles 
100001449,Bicycle  Parts & Accessories,Bicycle  Parts & Accessories,False,12130100,Bicycles & Equipment,http://www.bizrate-partner.com/bicycle-parts-accessories/?rf=af1&af_assettype_id=10&af_creative_id=2975&af_id=614987&af_placement_id=1,Home > Sports Equipment & Outdoor Gear > Bicycles & Equipment > Bicycle  Parts & Accessories
100001450,Cycling Apparel,Cycling Apparel,False,12130100,Bicycles & Equipment,http://www.bizrate-partner.com/cycling-apparel/?rf=af1&af_assettype_id=10&af_creative_id=2975&af_id=614987&af_placement_id=1,Home > Sports Equipment & Outdoor Gear > Bicycles & Equipment > Cycling Apparel
12130300,Scooters & Accessories,Scooters & Accessories,False,12000000,Sports Equipment & Outdoor Gear,http://www.bizrate-partner.com/scooters_accessories/?rf=af1&af_assettype_id=10&af_creative_id=2975&af_id=614987&af_placement_id=1,Home > Sports Equipment & Outdoor Gear > Scooters & Accessories
12130400,Skateboarding Equipment,Skateboarding Equipment,False,12000000,Sports Equipment & Outdoor Gear,http://www.bizrate-partner.com/skateboardingequipment/?rf=af1&af_assettype_id=10&af_creative_id=2975&af_id=614987&af_placement_id=1,Home > Sports Equipment & Outdoor Gear > Skateboarding Equipment
12130500,Inline & Roller Skate Equipment,Inline & Roller Skate Equipment,False,12000000,Sports Equipment & Outdoor Gear,http://www.bizrate-partner.com/inline_rollerskateequipment/?rf=af1&af_assettype_id=10&af_creative_id=2975&af_id=614987&af_placement_id=1,Home > Sports Equipment & Outdoor Gear > Inline & Roller Skate Equipment
12140200,Skiing Equipment,Skiing Equipment,False,12000000,Sports Equipment & Outdoor Gear,http://www.bizrate-partner.com/skiingequipment/?rf=af1&af_assettype_id=10&af_creative_id=2975&af_id=614987&af_placement_id=1,Home > Sports Equipment & Outdoor Gear > Skiing Equipment
