id,label,categoryName,parent_id,degree,depth
1334134_6355365_8733351,Arts, Crafts & Sewing>Arts & Crafts Furniture and Storage>Artist Easels,Artist Easels,1334134_6355365,0.0,3
1334134_6355365_1285843,Arts Crafts & Sewing>Arts & Crafts Furniture and Storage>Craft Storage,Craft Storage,1334134_6355365,0.0,3
1334134_6355365_7824980,Arts, Crafts & Sewing>Arts & Crafts Furniture and Storage>Craft Tables & Craft Furniture,Craft Tables & Craft Furniture,1334134_6355365,0.0,3
1334134_6355365_5190638,Arts, Crafts & Sewing>Craft Furniture & Storage>Drafting Tables,Drafting Tables,1334134_6355365,0.0,3
1334134_6355365_8619491,Arts Crafts & Sewing>Arts & Crafts Furniture and Storage>Drawing Boards,Drawing Boards,1334134_6355365,0.0,3
1334134_6355365_7766020,Arts Crafts & Sewing>Arts & Crafts Furniture and Storage>Sewing Tables & Sewing Storage,Sewing Tables & Sewing Storage,1334134_6355365,0.0,3
1334134_6355365_9682755,Arts, Crafts & Sewing>Craft Furniture & Storage>Specialty Craft Storage and Organizers,Specialty Craft Storage and Organizers,1334134_6355365,0.0,3
1334134_6172404,Arts, Crafts & Sewing>Crafting,Crafting,1334134,9.0,2
1334134_6172404_4510225,Arts, Crafts & Sewing>Crafting>Artificial Plants and Flowers,Artificial Plants and Flowers,1334134_6172404,0.0,3
1334134_6172404_7108348,Arts, Crafts & Sewing>Crafting>Arts & Crafts Kits,Arts & Crafts Kits,1334134_6172404,0.0,3
1334134_6172404_8479577,Arts, Crafts & Sewing>Crafting>Craft Supplies,Craft Supplies,1334134_6172404,0.0,3
1334134_6172404_3659773,Arts, Crafts & Sewing>Crafting>Fabric & Apparel Crafting,Fabric & Apparel Crafting,1334134_6172404,0.0,3
1334134_6172404_7141830,Arts, Crafts & Sewing>Crafting>Hot Glue Guns,Hot Glue Guns,1334134_6172404,0.0,3
1334134_6172404_4854691,Arts, Crafts & Sewing>Crafting>Paper Crafting,Paper Crafting,1334134_6172404,0.0,3
1334134_6172404_7659444,Arts Crafts & Sewing>Crafting>Printmaking,Printmaking,1334134_6172404,0.0,3
1334134_6172404_5753260,Arts, Crafts & Sewing>Crafting>Speciality Crafts & Hobbies,Speciality Crafts & Hobbies,1334134_6172404,0.0,3
1334134_6172404_4705167,Arts, Crafts & Sewing>Crafting>Wood Crafting,Wood Crafting,1334134_6172404,0.0,3
1334134_5916865,Arts, Crafts & Sewing>Crayola,Crayola,1334134,7.0,2
1334134_5916865_3651878,Arts Crafts & Sewing>Crayola>Crayola Clay & Compounds,Crayola Clay & Compounds,1334134_5916865,0.0,3
1334134_5916865_7082544,Arts Crafts & Sewing>Crayola>Crayola Coloring & Drawing Supplies,Crayola Coloring & Drawing Supplies,1334134_5916865,0.0,3
1334134_5916865_6731654,Arts, Crafts & Sewing>Crayola>Crayola Paint and Painting Tools,Crayola Paint and Painting Tools,1334134_5916865,0.0,3
1334134_5916865_6856318,Arts, Crafts & Sewing>Crayola>Crayola Shop By Age,Crayola Shop By Age,1334134_5916865,0.0,3
1334134_5916865_7426931,Arts Crafts & Sewing>Crayola>Crayola Signature,Crayola Signature,1334134_5916865,0.0,3
1334134_5916865_1263997,Arts, Crafts & Sewing>Crayola>Crayola Toys & Activities,Crayola Toys & Activities,1334134_5916865,0.0,3
1334134_5916865_8994348,Arts, Crafts & Sewing>Crayola>For the Classroom Crayola,For the Classroom Crayola,1334134_5916865,0.0,3
1334134_9799587,Arts, Crafts & Sewing>Cricut,Cricut,1334134,6.0,2
1334134_9799587_7470587,Arts Crafts & Sewing>Cricut>All Cricut Machines,All Cricut Machines,1334134_9799587,0.0,3
1334134_9799587_8431770,Arts, Crafts & Sewing>Cricut>Cricut Easy Press,Cricut Easy Press,1334134_9799587,0.0,3
1334134_9799587_5108517,Arts, Crafts & Sewing>Cricut>Cricut Explore Air 2,Cricut Explore Air 2,1334134_9799587,0.0,3
1334134_9799587_1839451,Arts, Crafts & Sewing>Cricut>Cricut Maker,Cricut Maker,1334134_9799587,0.0,3
